,date,device,total_conversions,total_impressions,total_cost,total_conversion_rev,rev_per_1000_impression,cost_per_1000_impression
0,2017-11-01,Tablet,13,297290,280.28999999999945,786.5,2.6455649365938982,0.9428167782300093
1,2017-11-01,Desktop,43,813542,1651.0299999999984,2601.5,3.1977451686575495,2.029434251704274
2,2017-11-01,Mobile,34,1164115,838.8699999999965,2057.0,1.7670075550955018,0.7206075001181125
3,2017-11-02,Tablet,12,288526,266.0000000000001,726.0,2.5162377047475792,0.9219273133097194
4,2017-11-02,Mobile,23,1081544,769.6599999999944,1391.5,1.2865865836248918,0.7116307797001272
5,2017-11-02,Desktop,35,727545,1592.9799999999948,2117.5,2.9104728917111657,2.1895277955315406
6,2017-11-03,Tablet,5,200105,197.1299999999997,302.5,1.5117063541640638,0.985132805277228
7,2017-11-03,Mobile,28,934360,649.9099999999963,1694.0,1.8130056937368895,0.6955670191360892
8,2017-11-03,Desktop,57,641909,1392.1399999999971,3448.5,5.372256815218356,2.1687497760585956
9,2017-11-04,Tablet,13,216483,212.89999999999958,786.5,3.633079733743527,0.9834490468073687
10,2017-11-04,Desktop,46,583884,1395.3199999999947,2783.0,4.766357701187221,2.3897212460009087
11,2017-11-04,Mobile,25,934371,652.0599999999963,1512.5,1.618736026696034,0.6978598436809322
12,2017-11-05,Tablet,10,253522,239.95999999999978,605.0,2.3863806691332505,0.9465056287028336
13,2017-11-05,Desktop,55,645810,1527.2699999999973,3327.5,5.152444217339465,2.3648906024991825
14,2017-11-05,Mobile,28,1255756,797.7599999999944,1694.0,1.348988179232271,0.6352826504511978
15,2017-11-06,Tablet,10,235568,223.46000000000038,605.0,2.568260544725939,0.9486008286354699
16,2017-11-06,Desktop,59,1155037,2595.5300000000043,3569.5,3.0903771913800164,2.247140134904773
17,2017-11-06,Mobile,37,1169654,855.7699999999935,2238.5,1.9138138287048991,0.7316437168598521
18,2017-11-07,Tablet,7,258278,251.60999999999981,423.5,1.6397060531675172,0.9741828572313547
19,2017-11-07,Desktop,22,540963,1201.2499999999943,1331.0,2.460427053236543,2.2205770080393563
20,2017-11-07,Mobile,33,1392127,1087.6899999999919,1996.5,1.4341363970384886,0.781315210465706
21,2017-11-08,Tablet,10,298793,291.20999999999987,605.0,2.0248131649670507,0.9746212260662059
22,2017-11-08,Mobile,28,1452706,1152.1799999999928,1694.0,1.1660996788063105,0.7931267579262375
23,2017-11-08,Desktop,38,908855,2131.7099999999978,2299.0,2.5295564198909615,2.345489654565357
24,2017-11-09,Tablet,9,357511,341.09999999999843,544.5,1.5230300606135194,0.9540965173099526
25,2017-11-09,Mobile,24,1367383,1006.5199999999942,1452.0,1.0618824425928945,0.7360922287318141
26,2017-11-09,Desktop,58,922638,2048.7099999999955,3509.0,3.8032251002018125,2.2204916771258016
27,2017-11-10,Tablet,6,303204,290.89999999999924,363.0,1.197213757074445,0.959420060421364
28,2017-11-10,Desktop,42,573735,1274.2699999999982,2541.0,4.428873957489085,2.2210079566350287
29,2017-11-10,Mobile,26,1145322,784.9399999999952,1573.0,1.3734128917457276,0.6853443835008802
30,2017-11-11,Tablet,15,321920,304.04999999999893,907.5,2.8190233598409544,0.9444893141153048
31,2017-11-11,Mobile,23,1176324,746.9599999999945,1391.5,1.1829223921300593,0.6349951203919961
32,2017-11-11,Desktop,29,334493,770.6499999999978,1754.5,5.245251769095317,2.3039346114866315
33,2017-11-12,Tablet,8,361583,357.08999999999816,484.0,1.3385585052394608,0.987574083958588
34,2017-11-12,Desktop,34,432449,983.4899999999982,2057.0,4.756630261603102,2.274233493429279
35,2017-11-12,Mobile,32,1421503,911.6199999999947,1936.0,1.3619387366751954,0.6413071235164433
